|Novel|Total Adjectives|Unique Adjectives|Total Words|Percentage
0|Blutsfeder|5864|1447|49173|2.9426717914302567
1|Crossed Arrows  Verschränkte Pfeile|6236|1677|42502|3.9456966730977365
2|Das Geheimnis von Silver City|3129|894|23489|3.806036868321342
3|Das Geisterschiff|5369|1309|40039|3.26931242039012
4|Das Geschäft|1743|659|12103|5.444931008840783
5|Das Mantra für Blau|3087|1130|22321|5.06249719994624
6|Der Detektiv und die Flüchtlinge|6176|1887|47272|3.991792181418176
7|Der Pate von Sankt Petersburg|4863|1391|43120|3.2258812615955472
8|Detektei X|19445|2733|144948|1.885503766868118
9|Die Beine des Victor Vervodin|2105|810|13778|5.87893743649296
10|Die Biene|1756|542|18903|2.867269745543035
11|Eine letzte Kugel|3826|1492|29164|5.115896310519819
12|Einmal zurück und wieder zurück  bitte |2725|1027|18760|5.474413646055437
13|Equus Carnifex|8836|2050|60071|3.412628389738809
14|Goldrausch|4759|1245|42501|2.929342838992024
15|Himmelstraum|5557|1512|49820|3.034925732637495
16|Höhenrausch|11952|2389|98933|2.4147655484014434
17|IOSC Duologie  das Prequel|3780|985|25615|3.845403084130392
18|Jagdfieber|4869|1219|41311|2.950787925734066
19|Liebe den Tod |1461|519|13643|3.80414864765814
20|Precious Insel der Vergangenheit|2752|873|16812|5.192719486081371
21|Schneeeule|6086|1570|51576|3.0440514968202264
22|Southern Comfort|7795|2146|49939|4.297242636015939
23|Stilles Gewässer|4743|1230|37982|3.238376072876626
24|The Tricks of the Detectives|3077|1082|18346|5.897743377302954
25|The Twist|2029|737|15520|4.748711340206185
26|Tote Helden|5799|1747|42753|4.08626295230744
27|Tödliche Begegnung|4361|1320|36554|3.6110959128959896
28|Unter Verdacht|2928|937|26033|3.5992778396650404
29|Verraten|2535|818|17460|4.684994272623139
30|Wolkenkind|7123|1818|62434|2.911874939936573
