|Novel|Total Adjectives|Unique Adjectives|Total Words|Percentage
0|Albtraum|343|192|22680|0.8465608465608466
1|Alina|315|197|16909|1.1650600272044473
2|Aller Anfang ist schwer|580|412|16767|2.457207610186676
3|Angel  Arbeitstitel |237|188|14514|1.2953010886041065
4|Anonym|332|237|12590|1.8824463860206513
5|Auf den Spuren der Vergangenheit|335|217|14530|1.4934618031658637
6|Authorities Task Force|545|355|23249|1.526947395586907
7|Being Jack|555|367|17749|2.0677221251901514
8|Broken Mirrors   |373|287|11554|2.483988229184698
9|Bruderliebe|300|223|11478|1.9428471859208922
10|CRY|1464|660|72830|0.9062199643004256
11|Cube|1067|714|34200|2.087719298245614
12|Das Attentat|980|497|33831|1.469066832195324
13|Das Böse hat ein Herz|415|283|14009|2.0201299164822615
14|Das mörderische Krimidinner|999|568|34412|1.6505870045333024
15|Death Teacher|327|220|13933|1.5789851431852435
16|Der Anfang der Katastrophen oder London calling|803|558|22384|2.4928520371694067
17|Der Diamantenprinz|1329|751|57599|1.3038420805916768
18|Der Fall Lukis|499|327|19417|1.6840912602358755
19|Der Herzensbrecher|961|588|45707|1.2864550287702103
20|Der Mountie   Das Geheimnis der toten Elche|1075|687|33447|2.053995874069423
21|Der Zweck heiligt die Mittel|474|357|17173|2.078844698072556
22|Der erste Fall|386|248|19762|1.2549337111628378
23|Die Entführung|535|370|21594|1.7134389182180236
24|Die Fassade|1491|686|59569|1.1516057009518375
25|Die Nacht im Mai|2791|1489|103323|1.441111853120796
26|Die Stunde der Angst|1184|626|51639|1.2122620500009682
27|Die weiße Witwe|3330|1846|84778|2.1774516973743188
28|Eiskalt|760|480|35992|1.3336296954878863
29|Emma|448|270|26179|1.0313610145536498
30|Falsche Sterne über Tokyo|2523|1567|41807|3.748176142751214
31|Familie endet nicht beim Blut|260|203|11988|1.69336002669336
32|Finn Becket Undercover  Drogenrausch|391|269|15268|1.7618548598375687
33|Frauenmörder  Liebeswirren und andere Katastrophen|461|328|15846|2.069923008961252
34|HAMBURG KRIMI   Schatten der Vergangenheit|904|543|40936|1.3264608168848935
35|HAMBURG KRIMI II   Teufel in der Hansestadt|1748|980|66816|1.4667145593869733
36|HInter deinem Schatten|451|328|19121|1.7153914544218398
37|Havering Circle|884|582|41450|1.4041013268998794
38|Hinter meiner Ex|700|389|35950|1.082058414464534
39|Ich bin Fünf|967|564|33137|1.7020249268189638
40|Im Mondenschein|1351|632|35029|1.8042193611008024
41|Im Namen der Gerechtigkeit|3075|1607|101455|1.583953476910946
42|Immer wieder Sonntags   |613|383|31689|1.208621288144151
43|In Fünf Zügen|511|301|24172|1.2452424292569917
44|In den Mauern des Feindes|1292|668|44714|1.4939392583978173
45|Interrogation Room|181|139|12650|1.0988142292490117
46|Jonas|342|226|22265|1.0150460363799685
47|Kein Grund zur Sorge|757|517|28218|1.8321638670352258
48|Laura|286|161|16214|0.9929690391020106
49|Lebende Bombe   Und ich krieg dich doch|573|364|21446|1.6972862072181294
50|Leseprobe   Im Fokus der Liebe|578|367|30944|1.1860134436401242
51|Leseprobe  Im Fokus der Zukunft|605|367|32566|1.1269422096665234
52|Lisa|359|216|24402|0.8851733464470126
53|Locurar|495|365|15550|2.347266881028939
54|Mad Maids|1050|691|29963|2.306177619063512
55|Marie Lena|218|146|16678|0.8754047247871448
56|Messerscharf|325|231|15595|1.481243988457839
57|Morgenstund |662|330|29795|1.1075683839570396
58|Moritz|360|211|21497|0.9815323068335116
59|Nachtgeheimnisse|2017|1138|77458|1.4691832993364147
60|Paul|328|199|17327|1.148496566052981
61|Pentagramm|495|325|17188|1.890854084244822
62|Perfect  but better|402|258|18037|1.430393080889283
63|Pierre|378|231|22724|1.0165463826791057
64|Police Line|1109|745|35215|2.1155757489706093
65|REVANGE|1548|708|80522|0.8792628101636819
66|RMS Titanic Krimi   noch kein Titel |2093|1111|68535|1.6210695265192965
67|SL 8|275|174|15400|1.12987012987013
68|Schattenspringer|355|257|13082|1.964531417214493
69|Schattenwege|2845|1139|81327|1.4005188928646084
70|Spiegelbildmord|509|327|22009|1.4857558271616156
71|Stolen Dreams and Hearts  Teil 1  |733|341|50388|0.6767484321663888
72|Tara Felber und ein  fast  perfekter Plan|406|291|15378|1.892313694888802
73|The Circle|341|258|14045|1.8369526521893915
74|Tot oder lebendig|879|538|38515|1.3968583668700507
75|Tot oder lebendig II|913|524|39087|1.3405991761966896
76|Tödliche Leidenschaft|402|257|21742|1.1820439701959342
77|Um jeden Preis|944|582|38090|1.5279600945129956
78|Unheimliches Verschwinden|360|241|18855|1.2781755502519228
79|Vampirpfoten|402|324|11623|2.787576357222748
80|Verhöhnter Zorn|562|395|19816|1.993338716188938
81|Vertrauen ist gut    |786|505|32476|1.5549944574454981
82|Via Inquisitoris  Draculas Rückkehr|694|419|25557|1.6394725515514341
83|Via Inquisitoris  Ein Sarg in Transsylvanien   der vierte Vampirkrimi|613|393|26866|1.4628154544777787
84|Via Inquisitoris  Wiener Blut|494|327|20436|1.6001174398120963
85|Vogelfrei|854|467|38392|1.2163992498437173
86|Vom Fischer und seiner Frau|471|350|22143|1.580634963645396
87|Wendland Saga 19  Jh    Alexander von Wendland 2  Buch|1355|843|41761|2.0186298220828047
88|Zu Kreuze getragen|301|215|13927|1.5437639118259496
89|chicago   rache auf umwegen|452|303|18263|1.6590921535344687
