|Novel|Total Adjectives|Unique Adjectives|Total Words|Percentage
0|Albtraum|343|192|22680|0.8465608465608466
1|Alina|315|197|16909|1.1650600272044473
2|Aller Anfang ist schwer|580|412|16767|2.457207610186676
3|Angel  Arbeitstitel |237|188|14514|1.2953010886041065
4|Anonym|332|237|12590|1.8824463860206513
5|Auf den Spuren der Vergangenheit|335|217|14530|1.4934618031658637
6|Authorities Task Force|545|355|23249|1.526947395586907
7|Being Jack|555|367|17749|2.0677221251901514
8|Blutsfeder|975|588|49012|1.1997061944013712
9|Broken Mirrors   |373|287|11554|2.483988229184698
10|Bruderliebe|300|223|11478|1.9428471859208922
11|CRY|1464|660|72830|0.9062199643004256
12|Crossed Arrows  Verschränkte Pfeile|1261|743|42511|1.7477829267718945
13|Cube|1067|714|34200|2.087719298245614
14|Das Attentat|980|497|33831|1.469066832195324
15|Das Böse hat ein Herz|415|283|14009|2.0201299164822615
16|Das Geheimnis von Silver City|614|355|23528|1.508840530431826
17|Das Geisterschiff|1015|541|39968|1.3535828662930345
18|Das Geschäft|345|241|12129|1.9869733696100254
19|Das Mantra für Blau|761|487|22338|2.1801414629778852
20|Das mörderische Krimidinner|999|568|34412|1.6505870045333024
21|Death Teacher|327|220|13933|1.5789851431852435
22|Der Anfang der Katastrophen oder London calling|803|558|22384|2.4928520371694067
23|Der Detektiv und die Flüchtlinge|1431|864|47269|1.8278364255643234
24|Der Diamantenprinz|1329|751|57599|1.3038420805916768
25|Der Fall Lukis|499|327|19417|1.6840912602358755
26|Der Herzensbrecher|961|588|45707|1.2864550287702103
27|Der Mountie   Das Geheimnis der toten Elche|1075|687|33447|2.053995874069423
28|Der Pate von Sankt Petersburg|1042|638|42992|1.4839970227018981
29|Der Zweck heiligt die Mittel|474|357|17173|2.078844698072556
30|Der erste Fall|386|248|19762|1.2549337111628378
31|Detektei X|3307|1261|144612|0.8719884933477166
32|Die Beine des Victor Vervodin|358|281|13776|2.039779326364692
33|Die Biene|308|198|18876|1.048951048951049
34|Die Entführung|535|370|21594|1.7134389182180236
35|Die Fassade|1491|686|59569|1.1516057009518375
36|Die Nacht im Mai|2791|1489|103323|1.441111853120796
37|Die Stunde der Angst|1184|626|51639|1.2122620500009682
38|Die weiße Witwe|3330|1846|84778|2.1774516973743188
39|Eine letzte Kugel|906|630|29095|2.165320501804434
40|Einmal zurück und wieder zurück  bitte |568|425|18902|2.2484393185906253
41|Eiskalt|760|480|35992|1.3336296954878863
42|Emma|448|270|26179|1.0313610145536498
43|Equus Carnifex|1470|844|60154|1.4030654653057153
44|Falsche Sterne über Tokyo|2523|1567|41807|3.748176142751214
45|Familie endet nicht beim Blut|260|203|11988|1.69336002669336
46|Finn Becket Undercover  Drogenrausch|391|269|15268|1.7618548598375687
47|Frauenmörder  Liebeswirren und andere Katastrophen|461|328|15846|2.069923008961252
48|Goldrausch|837|509|42447|1.1991424600089524
49|HAMBURG KRIMI   Schatten der Vergangenheit|904|543|40936|1.3264608168848935
50|HAMBURG KRIMI II   Teufel in der Hansestadt|1748|980|66816|1.4667145593869733
51|HInter deinem Schatten|451|328|19121|1.7153914544218398
52|Havering Circle|884|582|41450|1.4041013268998794
53|Himmelstraum|1214|700|49751|1.4070068943337823
54|Hinter meiner Ex|700|389|35950|1.082058414464534
55|Höhenrausch|2537|1201|98695|1.2168802877552054
56|IOSC Duologie  das Prequel|790|402|25612|1.5695767608933313
57|Ich bin Fünf|967|564|33137|1.7020249268189638
58|Im Mondenschein|1351|632|35029|1.8042193611008024
59|Im Namen der Gerechtigkeit|3075|1607|101455|1.583953476910946
60|Immer wieder Sonntags   |613|383|31689|1.208621288144151
61|In Fünf Zügen|511|301|24172|1.2452424292569917
62|In den Mauern des Feindes|1292|668|44714|1.4939392583978173
63|Interrogation Room|181|139|12650|1.0988142292490117
64|Jagdfieber|763|473|41152|1.1493973561430793
65|Jonas|342|226|22265|1.0150460363799685
66|Kein Grund zur Sorge|757|517|28218|1.8321638670352258
67|Laura|286|161|16214|0.9929690391020106
68|Lebende Bombe   Und ich krieg dich doch|573|364|21446|1.6972862072181294
69|Leseprobe   Im Fokus der Liebe|578|367|30944|1.1860134436401242
70|Leseprobe  Im Fokus der Zukunft|605|367|32566|1.1269422096665234
71|Liebe den Tod |284|190|13655|1.3914317099963385
72|Lisa|359|216|24402|0.8851733464470126
73|Locurar|495|365|15550|2.347266881028939
74|Mad Maids|1050|691|29963|2.306177619063512
75|Marie Lena|218|146|16678|0.8754047247871448
76|Messerscharf|325|231|15595|1.481243988457839
