|novel|brut_sum|brut_type|Total Words|Percentage|field
0|  Der rote Regenschirm  |56|22|9718|0.5762502572545791|hor_full
1| MMFF  Dare you  Dare you  Double Dare you|294|41|30382|0.9676782305312356|hor_full
2|3|126|29|12010|1.0491257285595337|hor_full
3|43 Stunden|81|25|13566|0.5970809376382131|hor_full
4|7 Tage Wahnsinn|136|31|12090|1.1248966087675765|hor_full
5|Aloha From Hell|150|33|19602|0.7652280379553107|hor_full
6|Als der Tod an unsere Tür klopfte|231|31|25620|0.9016393442622952|hor_full
7|Am Ende des Tages|148|29|13800|1.0724637681159421|hor_full
8|Amusement Park|122|24|18122|0.6732148769451495|hor_full
9|Another Fear|345|48|25856|1.334313118811881|hor_full
10|Apokalypse  Arbeitstitel |528|45|43200|1.2222222222222223|hor_full
11|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _0|1009|63|100195|1.0070362792554517|hor_full
12|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _1|848|61|98916|0.8572930567350074|hor_full
13|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _2|262|45|32231|0.812882008004716|hor_full
14|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _0|785|64|99824|0.7863840359031896|hor_full
15|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _1|801|55|100628|0.7960011130102954|hor_full
16|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _2|729|61|99425|0.733215991953734|hor_full
17|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _3|623|61|87810|0.7094863910716319|hor_full
18|Archiviert ZOE   Das Leben der Mörderin   Band I _0|1255|58|100779|1.2452991198563192|hor_full
19|Archiviert ZOE   Das Leben der Mörderin   Band I _1|31|14|5170|0.5996131528046422|hor_full
20|Archiviert ZOE   Das Leben der Mörderin   Band II _0|918|57|100578|0.9127244526636044|hor_full
21|Archiviert ZOE   Das Leben der Mörderin   Band II _1|1058|55|100793|1.0496760687746174|hor_full
22|Archiviert ZOE   Das Leben der Mörderin   Band II _2|282|44|29947|0.9416636057034093|hor_full
