|novel|brut_sum|brut_type|Total Words|Percentage
0|  Der rote Regenschirm  |56|22|9718|0.5762502572545791
1| MMFF  Dare you  Dare you  Double Dare you|294|41|30382|0.9676782305312356
2|3|126|29|12010|1.0491257285595337
3|43 Stunden|81|25|13566|0.5970809376382131
4|7 Tage Wahnsinn|136|31|12090|1.1248966087675765
5|Aloha From Hell|150|33|19602|0.7652280379553107
6|Als der Tod an unsere Tür klopfte|231|31|25620|0.9016393442622952
7|Am Ende des Tages|148|29|13800|1.0724637681159421
8|Amusement Park|122|24|18122|0.6732148769451495
9|Another Fear|345|48|25856|1.334313118811881
10|Apokalypse  Arbeitstitel |528|45|43200|1.2222222222222223
11|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _0|576|54|50273|1.14574423646888
12|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _1|433|50|49923|0.8673356969733389
13|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _2|412|53|49119|0.8387792911093466
14|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _3|436|49|49798|0.8755371701674767
15|Archiviert ZOE   DAS LEBEN DES SCHATTEN  BAND I  _4|262|45|32231|0.812882008004716
16|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _0|408|47|49909|0.8174878278466811
17|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _1|377|56|49916|0.7552688516708069
18|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _2|358|44|50110|0.7144282578327679
19|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _3|443|49|50518|0.8769151589532443
20|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _4|382|54|49528|0.7712808916168632
21|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _5|347|46|49897|0.6954325911377438
22|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _6|276|46|49958|0.5524640698186476
23|Archiviert ZOE   DAS VERMÄCHTNIS DER ERBEN  BAND II  _7|347|52|37853|0.9167040921459331
24|Archiviert ZOE   Das Leben der Mörderin   Band I _0|644|53|50465|1.2761319726543148
25|Archiviert ZOE   Das Leben der Mörderin   Band I _1|611|49|50315|1.2143495975355263
26|Archiviert ZOE   Das Leben der Mörderin   Band I _2|31|14|5170|0.5996131528046422
27|Archiviert ZOE   Das Leben der Mörderin   Band II _0|476|49|50204|0.9481316229782488
28|Archiviert ZOE   Das Leben der Mörderin   Band II _1|442|45|50375|0.8774193548387097
29|Archiviert ZOE   Das Leben der Mörderin   Band II _2|504|45|50587|0.9963033981062328
30|Archiviert ZOE   Das Leben der Mörderin   Band II _3|554|49|50207|1.1034317923795487
31|Archiviert ZOE   Das Leben der Mörderin   Band II _4|282|44|29947|0.9416636057034093
32|Archiviert ZOE   Einhundert Tage   Band III _0|463|49|50470|0.9173766594016247
33|Archiviert ZOE   Einhundert Tage   Band III _1|628|53|50670|1.2393921452536019
34|Archiviert ZOE   Einhundert Tage   Band III _2|249|42|24688|1.0085871678548284
35|Attacked|96|31|16944|0.56657223796034
36|Avarus|107|32|14524|0.7367116496832828
37|Bad Boy or good guy _0|508|55|49974|1.016528594869332
38|Bad Boy or good guy _1|111|34|7831|1.4174434938066658
39|Because Life doesn t have a Happy End|202|32|18647|1.0832841743980266
40|Bedauere  dass ich mich danach sehne   |89|26|15163|0.5869550880432632
41|Bedauere  dass ich mich dem hingebe   |156|33|28762|0.542382309992351
42|Besser  ihr rennt    Old Version_0|305|41|48392|0.6302694660274426
43|Besser  ihr rennt    Old Version_1|16|8|4286|0.3733084461035931
44|Bloodlust|36|18|4680|0.7692307692307693
45|Bloody Mary|176|34|20664|0.8517228029423152
46|Blut   |204|26|11403|1.7890028939752698
47|Blutrot|205|31|13503|1.518181144930756
48|Blutspiel|117|34|12467|0.9384775808133473
49|Brennendes Herz_0|772|45|51619|1.495573335399756
50|Brennendes Herz_1|721|40|51993|1.3867251360760102
51|Brennendes Herz_2|303|32|19600|1.5459183673469388
52|Böse Überraschungen|95|28|21975|0.4323094425483504
