|novel|brut_sum|brut_type|Total Words|Percentage
0|Blutsfeder|286|35|43079|0.6638965621300402
1|Crossed Arrows  Verschränkte Pfeile|273|38|36349|0.7510522985501664
2|Das Geheimnis von Silver City|156|31|20483|0.7616071864472977
3|Das Geisterschiff|218|43|34398|0.6337577766149195
4|Das Geschäft|85|21|10727|0.7923930269413629
5|Das Mantra für Blau|111|25|19155|0.5794831636648395
6|Der Detektiv und die Flüchtlinge|247|44|39937|0.6184740967023061
7|Der Pate von Sankt Petersburg|485|51|37842|1.281644733365044
8|Detektei X_0|368|46|48999|0.7510357354231719
9|Detektei X_1|350|45|48664|0.7192174913693901
10|Detektei X_2|113|23|19059|0.5928957447924865
11|Die Beine des Victor Vervodin|60|27|11329|0.5296142642775179
12|Die Biene|155|25|14604|1.0613530539578198
13|Eine letzte Kugel|177|40|25005|0.7078584283143371
14|Einmal zurück und wieder zurück  bitte |81|27|15837|0.5114605038833112
15|Equus Carnifex_0|330|49|49274|0.6697243982627754
16|Equus Carnifex_1|6|4|322|1.8633540372670807
17|Goldrausch|298|36|35518|0.8390112055859001
18|Himmelstraum|306|43|41733|0.7332326935518654
19|Höhenrausch_0|456|44|50041|0.9112527727263644
20|Höhenrausch_1|252|35|33110|0.7610993657505285
21|IOSC Duologie  das Prequel|147|32|20933|0.7022404815363302
22|Jagdfieber|249|38|34576|0.7201527070800555
23|Liebe den Tod |107|22|11112|0.962922966162707
24|Precious Insel der Vergangenheit|95|27|14354|0.6618364219033023
25|Schneeeule|396|40|44261|0.8946928447165676
26|Southern Comfort|171|39|42922|0.39839709240016774
27|Stilles Gewässer|293|38|32320|0.906559405940594
28|The Tricks of the Detectives|61|21|15200|0.4013157894736842
29|The Twist|134|27|12763|1.0499098957925252
30|Tote Helden|207|37|35750|0.579020979020979
31|Tödliche Begegnung|233|36|31566|0.7381359690806565
32|Unter Verdacht|209|30|21994|0.9502591615895244
33|Verraten|124|31|15481|0.8009818487177831
34|Wolkenkind_0|343|44|50351|0.6812178506881691
35|Wolkenkind_1|30|17|3180|0.9433962264150944
