|novel|brut_sum|brut_type|Total Words|Percentage
0|Albtraum|144|23|19159|0.7516049898220157
1|Alina|85|19|12850|0.6614785992217899
2|Aller Anfang ist schwer|72|29|14258|0.5049796605414504
3|Angel  Arbeitstitel |88|23|11685|0.753102267864784
4|Anonym|41|15|11066|0.37050424724380987
5|Auf den Spuren der Vergangenheit|92|29|11243|0.8182869340923241
6|Authorities Task Force|142|32|20487|0.6931224679064772
7|Being Jack|105|25|14849|0.707118324466294
8|Broken Mirrors   |66|31|9813|0.6725771935188016
9|Bruderliebe|105|26|9845|1.0665312341289994
10|CRY_0|344|46|51446|0.6686622866695175
11|CRY_1|87|27|12936|0.6725417439703154
12|Cube|86|22|29106|0.29547172404315264
13|Das Attentat|245|36|29575|0.8284023668639053
14|Das Böse hat ein Herz|64|22|12559|0.509594712954853
15|Das mörderische Krimidinner|268|34|30035|0.89229232562011
16|Death Teacher|104|38|11433|0.9096475115892592
17|Der Anfang der Katastrophen oder London calling|97|29|20212|0.47991292301603006
18|Der Diamantenprinz_0|274|48|49483|0.5537255218964089
19|Der Diamantenprinz_1|1|1|1116|0.08960573476702509
20|Der Fall Lukis|60|20|16181|0.37080526543476916
21|Der Herzensbrecher|276|36|38105|0.7243143944364256
22|Der Mountie   Das Geheimnis der toten Elche|221|48|28201|0.783660153895252
23|Der Zweck heiligt die Mittel|91|25|14767|0.6162389110855285
24|Der erste Fall|95|25|16801|0.5654425331825487
25|Die Entführung|131|29|18601|0.7042632116552874
26|Die Fassade_0|318|43|50782|0.6262061360324525
27|Die Fassade_1|1|1|653|0.1531393568147014
28|Die Nacht im Mai_0|321|47|48118|0.6671100211978885
29|Die Nacht im Mai_1|331|46|39325|0.8417037507946599
30|Die Stunde der Angst|319|41|45282|0.7044741840024734
31|Die weiße Witwe_0|189|35|46651|0.40513600994619625
32|Die weiße Witwe_1|115|34|25602|0.44918365752675576
33|Eiskalt|187|32|29770|0.6281491434329862
34|Emma|137|25|20010|0.6846576711644178
35|Falsche Sterne über Tokyo|99|39|35562|0.2783870423485743
36|Familie endet nicht beim Blut|49|19|10126|0.48390282441240373
37|Finn Becket Undercover  Drogenrausch|77|20|13295|0.579165099661527
38|Frauenmörder  Liebeswirren und andere Katastrophen|101|31|14155|0.713528788413988
39|HAMBURG KRIMI   Schatten der Vergangenheit|247|32|34781|0.7101578448003221
40|HAMBURG KRIMI II   Teufel in der Hansestadt_0|396|55|48743|0.8124243481115238
41|HAMBURG KRIMI II   Teufel in der Hansestadt_1|96|31|10135|0.9472126295017267
42|HInter deinem Schatten|146|35|16042|0.9101109587333251
43|Havering Circle|199|35|33855|0.5878009156697681
44|Hinter meiner Ex|369|42|30335|1.2164166804021759
45|Ich bin Fünf|174|41|27961|0.6222953399377704
46|Im Mondenschein|141|26|31390|0.4491876393755973
47|Im Namen der Gerechtigkeit_0|344|38|47013|0.7317125050517942
48|Im Namen der Gerechtigkeit_1|293|39|38439|0.7622466765524597
49|Immer wieder Sonntags   |211|42|26732|0.7893161753703427
50|In Fünf Zügen|170|25|20215|0.8409596834034133
51|In den Mauern des Feindes|238|41|38421|0.6194529033601416
52|Interrogation Room|84|17|10347|0.8118295158016816
53|Jonas|104|22|16688|0.6232023010546501
54|Kein Grund zur Sorge|125|28|23462|0.532776404398602
55|Laura|69|14|12022|0.5739477624355348
56|Lebende Bombe   Und ich krieg dich doch|175|36|18042|0.9699589845915088
57|Leseprobe   Im Fokus der Liebe|216|29|26589|0.8123660160216631
58|Leseprobe  Im Fokus der Zukunft|185|32|27800|0.6654676258992805
59|Lisa|106|24|18479|0.573624113858975
60|Locurar|123|24|13355|0.9210033695245227
61|Mad Maids|192|43|26133|0.7347032487659282
62|Marie Lena|80|18|12189|0.6563294773976537
63|Messerscharf|120|25|12982|0.924356801725466
64|Morgenstund |139|19|25550|0.5440313111545988
65|Moritz|126|28|16273|0.7742886990720825
66|Nachtgeheimnisse_0|271|40|48765|0.5557264431456987
67|Nachtgeheimnisse_1|37|15|15835|0.23365961477739183
68|Paul|112|22|12898|0.8683516824313847
69|Pentagramm|112|29|15054|0.7439883087551481
70|Perfect  but better|96|29|14706|0.6527947776417788
71|Pierre|101|27|16858|0.5991220785383794
72|Police Line|191|46|28609|0.6676220769687861
73|REVANGE_0|255|42|51191|0.4981344376941259
74|REVANGE_1|130|30|19471|0.6676595963227364
75|RMS Titanic Krimi   noch kein Titel _0|364|43|48743|0.7467738957388753
76|RMS Titanic Krimi   noch kein Titel _1|61|23|9582|0.6366103109997913
77|SL 8|76|26|12546|0.6057707635899888
78|Schattenspringer|74|18|11011|0.6720552175097629
79|Schattenwege_0|247|30|49904|0.4949503045848029
80|Schattenwege_1|140|31|22833|0.6131476371917838
81|Spiegelbildmord|159|29|18217|0.8728111105011802
82|Stolen Dreams and Hearts  Teil 1  |133|29|40634|0.32731210316483733
83|Tara Felber und ein  fast  perfekter Plan|107|26|12478|0.8575092162205481
84|The Circle|100|31|12337|0.8105698305909055
85|Tot oder lebendig|198|27|31600|0.6265822784810127
86|Tot oder lebendig II|153|29|32168|0.4756279532454613
87|Tödliche Leidenschaft|117|20|18589|0.6294044865242886
88|Um jeden Preis|165|29|31707|0.5203898192828081
89|Unheimliches Verschwinden|78|20|15687|0.49722700325109964
90|Vampirpfoten|51|20|9832|0.5187144019528072
91|Verhöhnter Zorn|101|28|17332|0.5827371336256635
92|Vertrauen ist gut    |178|30|27004|0.6591616056880462
93|Via Inquisitoris  Draculas Rückkehr|151|32|21196|0.7123985657671259
94|Via Inquisitoris  Ein Sarg in Transsylvanien   der vierte Vampirkrimi|155|32|22304|0.6949426111908178
95|Via Inquisitoris  Wiener Blut|114|26|17009|0.670233405843965
96|Vogelfrei|231|35|32917|0.7017650454172616
97|Vom Fischer und seiner Frau|169|33|18527|0.9121822205429913
98|Wendland Saga 19  Jh    Alexander von Wendland 2  Buch|282|48|35133|0.8026641618990693
99|Zu Kreuze getragen|94|28|11403|0.8243444707533106
100|chicago   rache auf umwegen|100|31|15498|0.6452445476835721
