|novel|brut_sum|brut_type|Total Words|Percentage
0|Baldur   Alle Farben der Magie_0|3787|177|47863|7.912165973716649
1|Baldur   Alle Farben der Magie_1|3567|151|48556|7.346157014581102
2|Baldur   Alle Farben der Magie_2|3631|155|49117|7.392552476739215
3|Baldur   Alle Farben der Magie_3|3525|165|48992|7.195052253429131
4|Baldur   Alle Farben der Magie_4|3563|186|48344|7.370097633625683
5|Baldur   Alle Farben der Magie_5|3733|190|47813|7.807500052287035
6|Baldur   Alle Farben der Magie_6|3764|171|47975|7.8457529963522665
7|Baldur   Alle Farben der Magie_7|3458|172|48527|7.125929894697797
8|Baldur   Alle Farben der Magie_8|3422|169|48648|7.034204900509784
9|Baldur   Alle Farben der Magie_9|3701|166|48462|7.636911394494655
10|Baldur   Alle Farben der Magie_10|3689|161|48169|7.658452531711267
11|Baldur   Alle Farben der Magie_11|1476|113|19814|7.449278288079136
12|Clash of Times|1617|87|20855|7.753536322224887
13|Der Held von Aranor|2415|111|30455|7.929732392053849
14|Der König von Kalaß_0|3726|152|48837|7.629461269119725
15|Der König von Kalaß_1|3953|152|49126|8.046655538818548
16|Der König von Kalaß_2|986|87|12708|7.7588920365124325
17|Der Zeitzug   Die erste Fahrt des Schaffners|954|71|11484|8.307210031347962
18|Die Chroniken der sieben Schwerter|1567|97|21612|7.250601517675366
19|Die Geschichte von Lars Zickler_0|3530|122|49381|7.148498410319759
20|Die Geschichte von Lars Zickler_1|395|48|5831|6.774138226719259
21|Die Große Liebe im Jugendknast_0|3503|93|52804|6.6339671237027495
22|Die Große Liebe im Jugendknast_1|3568|102|52819|6.755144928908158
23|Die Große Liebe im Jugendknast_2|3460|91|52557|6.583328576593033
24|Die Große Liebe im Jugendknast_3|3380|92|52253|6.468528122787208
25|Die Große Liebe im Jugendknast_4|1424|62|20834|6.834981280599021
26|Die Höhle|953|60|14562|6.544430710067299
27|Die Kinder des Windes|3039|138|38348|7.924793991863982
28|Ein Traum |1149|76|15433|7.445085207023911
29|Fjell   Der Berg der Jomsburg|1394|74|18088|7.7067669172932325
30|Gabriel|3146|134|42135|7.466476800759464
31|Geschäftsmann und Schamane|1820|76|30083|6.049928531064056
32|Hinter den Bergen_0|3414|150|48437|7.048330821479447
33|Hinter den Bergen_1|281|45|4329|6.491106491106491
34|Infected   Kaltes Leben|749|65|10458|7.161981258366801
35|Jane   Dem Wahnsinn Entgegen|856|73|11614|7.370415016359566
36|Kreiling Power_0|3572|163|48587|7.351760759050776
37|Kreiling Power_1|3896|150|48833|7.978211455368296
38|Kreiling Power_2|3631|155|48712|7.454015437674495
39|New Earth|1103|72|15578|7.0804981384003085
40|Piraten|2687|81|39760|6.75804828973843
41|Risen from Ruins|733|94|11739|6.244143453445779
42|Seelenlicht|825|75|10630|7.761053621825023
43|Shadow Sky|1478|80|23403|6.31542964577191
44|Spirit Force|780|74|10297|7.57502185102457
45|Star Dart 2   Die Kinder des Universums|2438|117|34381|7.091125912567989
46|Sturmkind 1   Der Tempel der vier Winde |2653|110|35761|7.4186963451805035
47|The Heavy Way|1679|83|22479|7.469193469460385
48|The Unreal Reality|2220|85|28094|7.9020431408841745
49|The splintered truth_0|3486|135|48184|7.234766727544413
50|The splintered truth_1|3502|130|48585|7.207986003910671
51|The splintered truth_2|3359|137|48708|6.896197749856286
52|The splintered truth_3|3503|129|48374|7.241493364203912
53|The splintered truth_4|3471|146|48305|7.185591553669392
54|The splintered truth_5|3382|125|48145|7.024613147782739
55|The splintered truth_6|3441|139|48311|7.122601477924283
56|The splintered truth_7|3406|137|48706|6.992978277830248
57|The splintered truth_8|3260|130|48911|6.66516734476907
58|The splintered truth_9|3323|131|48686|6.825370743129441
59|The splintered truth_10|3124|134|43155|7.239022129533078
60|Tokyo Devils  Tokyo Sharks_0|3121|116|48885|6.384371484095326
61|Tokyo Devils  Tokyo Sharks_1|3228|133|48862|6.606360771151406
62|Tokyo Devils  Tokyo Sharks_2|3261|128|48458|6.7295389822114
63|Tokyo Devils  Tokyo Sharks_3|3252|136|48543|6.69921512885483
64|Tokyo Devils  Tokyo Sharks_4|3309|141|48951|6.759821045535332
65|Tokyo Devils  Tokyo Sharks_5|3240|148|48930|6.621704475781728
66|Tokyo Devils  Tokyo Sharks_6|294|46|4109|7.155025553662692
67|Ulrik 2_0|3135|130|48699|6.437503850181729
68|Ulrik 2_1|3175|139|48578|6.535880439705216
69|Ulrik 2_2|3278|140|48578|6.747910576804314
70|Ulrik 2_3|1101|91|18031|6.106150518551384
